Question,Answer
"What disease causes Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Loss of appetite, Chills, Sweating, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Chills, Sweating, Body aches, General discomfort?",Norovirus Infection
"What disease causes High fever, Rash, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills?",Roseola
"What disease causes Diarrhea, Muscle aches, Headache, Fatigue, Abdominal pain, Dehydration, Body aches, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Headache, Fatigue, Dehydration, Loss of appetite, Body aches?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Low-grade fever, Nausea, Rashes?",Norovirus Infection
"What disease causes Fever, Diarrhea, Headache, Dehydration, Loss of appetite, Muscle aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Red spots, Blisters, Fatigue, Sore muscles, Headache, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Rash, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Abdominal pain, Chills?",Roseola
"What disease causes High fever, Swollen lymph nodes, Sore throat, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Pain while chewing or swallowing, Loss of appetite, Testicle pain and tenderness, Fever, Muscle aches, Tiredness?",Mumps
"What disease causes Swollen glands, Fever, Fever (100.4�F / 38.0�C or higher), Nausea or vomiting, Abdominal pain, Headache and body aches?",Scarlet Fever
"What disease causes Low-grade fever, Headache, Abdominal pain, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Low-grade fever, Muscle aches, Nausea, Dehydration, Chills, Sweating, Rashes, Irritability?",Norovirus Infection
"What disease causes Low-grade fever, Muscle aches, Headache, Abdominal pain, Loss of appetite, Chills, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Rashes, Chills, Feverish?",Roseola
"What disease causes Slight bleeding if spots are scraped, Soreness or burning in the mouth, Dry, cracked skin at mouth corners, Bad taste in the mouth, Redness, irritation, and pain under dentures (denture stomatitis)?",Thrush (Oral Candidiasis)
"What disease causes Abdominal pain or cramps, Bloody stools, Dehydration, Muscle aches, Body aches, Feverish, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Red spots, Blisters, Fatigue, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Nausea, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Body aches, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Sore throat, Red lines in body folds, Red rash on the body, Sore and red throat with patches, Difficulty swallowing, Abdominal pain?",Scarlet Fever
"What disease causes Diarrhea, Vomiting, Stomach cramps, Headache, Fatigue, Abdominal pain, Dehydration, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Runny nose, Rash, Fatigue, Sore throat, Diarrhea, Abdominal pain?",Roseola
"What disease causes Rash, Irritability, Fatigue, Cough, Red eyes, Diarrhea, Feverish?",Roseola
"What disease causes Vomiting, Headache, Dehydration, Body aches, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Chills, Body aches?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Nausea, Bloody stools, Fatigue, Loss of appetite, Body aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Mouth sores, Red spots, Fatigue, Cough, General discomfort?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Body aches, Rashes, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Low-grade fever, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Loss of appetite, Muscle aches, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Low-grade fever, Muscle aches, Nausea, Loss of appetite, Dehydration, Chills, Sweating, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Chills, Body aches, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Dehydration, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches?",Norovirus Infection
"What disease causes Sores in mouth, Loss of appetite, Sore throat, Mouth sores, Blisters, Fatigue, Cough, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Nausea, Bloody stools, Fatigue, Dehydration, Muscle aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Nausea, Loss of appetite, Body aches, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Red eyes, Rashes, Chills, Feverish?",Roseola
"What disease causes Swollen glands, Fever, Sore throat, Red lines in body folds, Red rash on the body, Pale skin around lips, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain, Headache and body aches?",Scarlet Fever
"What disease causes Runny nose, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Loss of appetite, Sore throat, Red spots, Sore muscles, Headache, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Stomach cramps, Headache, Muscle aches, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Irritability, Fatigue, Sore throat, Headache, Cough, Vomiting, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Diarrhea, Vomiting, Headache, Loss of appetite, Muscle aches, Feverish, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Sore throat, Headache, Cough, Red eyes, Vomiting, Rashes, Chills?",Roseola
"What disease causes Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Dehydration, Sweating, Rashes?",Norovirus Infection
"What disease causes Fatigue, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Feverish?",Roseola
"What disease causes Diarrhea, Headache, Chills, Fever, Irritability?",Norovirus Infection
"What disease causes Stomach cramps, Nausea, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes Fever, Nausea, Vomiting, Stomach cramps, Dehydration, Feverish, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Sore throat, Fever, Red and swollen tonsils, White patches on tonsils, Headache, Rash, Loss of appetite?",Strep Throat
"What disease causes Nausea, Vomiting, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fatigue, Sore throat, Runny or stuffy nose, Mild fever, Headache, Swollen joints, Fever, Diarrhea, Vomiting?",Fifth Disease (Erythema Infectiosum)
"What disease causes Rash, Fatigue, Cough, Diarrhea, Rashes, Chills?",Roseola
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Vomiting, Muscle aches, Nausea, Fatigue, Chills, General discomfort, Fever?",Norovirus Infection
"What disease causes Sore throat, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Chills, Feverish?",Roseola
"What disease causes Fever, Diarrhea, Stomach cramps, Headache, Muscle aches, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Loss of appetite, Chills, Sweating, Body aches, Irritability?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Stomach cramps, Loss of appetite, Body aches, Feverish, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Stomach cramps, Headache, Fatigue, Dehydration, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sore throat, Red rash on the body, Strawberry tongue, Sore and red throat with patches, Nausea or vomiting?",Scarlet Fever
"What disease causes Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Feverish?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Fatigue, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Vomiting, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Sores in mouth, Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Red spots, General discomfort?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Irritability, Fatigue, Cough, Red eyes, Loss of appetite, Chills, Feverish?",Roseola
"What disease causes Low-grade fever, Nausea, Headache, Fatigue, Dehydration, Chills, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Irritability, Fatigue, Swollen lymph nodes, Headache, Vomiting, Loss of appetite, Chills?",Roseola
"What disease causes Runny nose, Rash, Fatigue, Sore throat, Red eyes, Vomiting, Abdominal pain, Rashes, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Fatigue, Sweating, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Abdominal pain?",Roseola
"What disease causes Vomiting, Stomach cramps, Dehydration, Body aches, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Fatigue, Muscle aches, Feverish, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Rash, Fatigue, Sore throat, Headache, Cough, Diarrhea, Vomiting, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Loss of appetite, Body aches, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Abdominal pain, Body aches?",Roseola
"What disease causes Mouth sores, Blisters, Fatigue, Sore muscles, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Stomach cramps, Abdominal pain, Chills, Body aches, Fever?",Norovirus Infection
"What disease causes High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Loss of appetite, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Headache, Abdominal pain, Dehydration, Chills, Body aches?",Norovirus Infection
"What disease causes Low-grade fever, Fatigue, Abdominal pain, Loss of appetite, Sweating, Rashes, Fever?",Norovirus Infection
"What disease causes Irritability, Swollen lymph nodes, Cough, Red eyes, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Dehydration, Chills, Rashes, Fever?",Norovirus Infection
"What disease causes Fever, Sores in mouth, Irritability, Red spots, Cough, Headache, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Rash, Fatigue, Sore throat, Headache, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Headache, Abdominal pain, Sweating, Body aches, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Irritability, Sore throat, Cough, Red eyes, Vomiting, Body aches, Chills, Feverish?",Roseola
"What disease causes High fever, Irritability, Fatigue, Sore throat, Cough, Red eyes, Abdominal pain?",Roseola
"What disease causes Fatigue, Sore muscles, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Runny nose, Rash, Irritability, Swollen lymph nodes, Headache, Diarrhea, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Diarrhea, Nausea, Vomiting, Headache, Fatigue, Dehydration, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Bloody stools, Dehydration, Loss of appetite, Muscle aches?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Sweating, Body aches, General discomfort?",Norovirus Infection
"What disease causes High fever, Fatigue, Swollen lymph nodes, Sore throat, Cough, Vomiting, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes High fever, Rash, Headache, Cough, Abdominal pain, Body aches, Rashes, Chills?",Roseola
"What disease causes Fever, Sore throat, Red lines in body folds, Fever (100.4�F / 38.0�C or higher), Tender, enlarged neck glands, Abdominal pain, Headache and body aches?",Scarlet Fever
"What disease causes Headache, Loss of appetite, Dehydration, Body aches, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Loss of appetite, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Nausea, Vomiting, Bloody stools, Fatigue, Body aches, Feverish, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Low-grade fever, Nausea, Dehydration, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Vomiting, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Red eyes, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Fever, Diarrhea, Bloody stools, Dehydration, Muscle aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Swollen lymph nodes, Diarrhea, Abdominal pain, Feverish?",Roseola
"What disease causes Irritability, Fatigue, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Rashes?",Roseola
"What disease causes Rash, Swollen lymph nodes, Abdominal pain, Body aches, Rashes, Chills?",Roseola
"What disease causes Rash, Irritability, Vomiting, Loss of appetite, Rashes, Chills, Feverish?",Roseola
"What disease causes Runny nose, Rash, Sore throat, Red eyes, Diarrhea, Vomiting, Chills, Feverish?",Roseola
"What disease causes Irritability, Fatigue, Sore throat, Headache, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Fatigue, Headache, Red eyes, Abdominal pain?",Roseola
"What disease causes Fever, Strawberry tongue, Pale skin around lips, Tender, enlarged neck glands?",Scarlet Fever
"What disease causes Sore throat, Blisters, Fatigue, Cough, Sore muscles, Headache, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Vomiting, Muscle aches, Fatigue, Loss of appetite, Chills, Sweating, Body aches, General discomfort, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Stomach cramps, Nausea, Headache, Fatigue, Loss of appetite, Chills, Rashes, Irritability?",Norovirus Infection
"What disease causes Nausea, Fatigue, Loss of appetite, Muscle aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Low-grade fever, Dehydration, Body aches, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Sores in mouth, Mouth sores, Red spots, Blisters, Fatigue, Headache, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Irritability?",Norovirus Infection
"What disease causes Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Dehydration, Chills, Sweating, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Vomiting, Fatigue, Loss of appetite, Muscle aches, Body aches, Feverish?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Loss of appetite, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Irritability, Sore muscles, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Rash, Swollen lymph nodes, Sore throat, Red eyes, Chills?",Roseola
"What disease causes Sneezing, Nasal discharge, Cyanosis (blue lips, tongue, nailbeds), Exhaustion, Runny nose, Severe coughing fits?",Pertussis (Whooping Cough)
"What disease causes Headache, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, General discomfort?",Norovirus Infection
"What disease causes Runny nose, Sore throat, Vomiting, Loss of appetite, Chills?",Roseola
"What disease causes High fever, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches, Rashes, Feverish?",Roseola
"What disease causes Runny nose, Fatigue, Headache, Red eyes, Vomiting, Rashes, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Stomach cramps, Fatigue, Dehydration, Body aches, Feverish, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Irritability, Sore throat, Headache, Cough, Vomiting, Loss of appetite, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Diarrhea, Vomiting, Low-grade fever, Abdominal pain, Loss of appetite, Chills, Rashes, General discomfort?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Vomiting, Body aches, Rashes, Chills?",Roseola
"What disease causes Fever, Vomiting, Bloody stools, Headache, Fatigue, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Loss of appetite, Sore throat, Cough, Sore muscles, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Feverish, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Fatigue, Loss of appetite, Feverish, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Loss of appetite, Chills, Irritability?",Norovirus Infection
"What disease causes Vomiting, Low-grade fever, Muscle aches, Chills, Sweating, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Fatigue, Abdominal pain, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Muscle aches, Abdominal pain, Loss of appetite, Chills, Sweating, Body aches, Rashes?",Norovirus Infection
"What disease causes Headache, Swollen, painful salivary glands, Fever, Muscle aches, Testicle pain and tenderness, Headache, Muscle aches, Tiredness?",Mumps
"What disease causes Vomiting, Low-grade fever, Nausea, Fatigue, Abdominal pain, Dehydration, Sweating, Irritability?",Norovirus Infection
"What disease causes High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Diarrhea, Vomiting, Body aches, Rashes, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Nausea, Headache, Fatigue, Dehydration, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Body aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Irritability, Fatigue, Diarrhea, Vomiting, Rashes?",Roseola
"What disease causes Stomach cramps, Muscle aches, Chills, Sweating, General discomfort, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Abdominal pain, Chills, Sweating, Rashes, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Nausea, Bloody stools, Headache, Fatigue, Dehydration, Body aches, Feverish, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Irritability, Fatigue, Red eyes, Vomiting, Abdominal pain, Body aches, Feverish?",Roseola
"What disease causes Rash, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Vomiting, Stomach cramps, Fatigue, Muscle aches, Body aches, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Dehydration, Chills, Sweating, Body aches?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Loss of appetite, Sweating, Body aches, Rashes?",Norovirus Infection
"What disease causes Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Vomiting, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Nausea, Bloody stools, Loss of appetite, Muscle aches, Body aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Fatigue, Abdominal pain, Body aches, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Runny nose, Rash, Fatigue, Sore throat, Headache, Cough, Red eyes, Diarrhea, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Headache, Loss of appetite, Chills, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Low-grade fever, Muscle aches, Nausea, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Muscle aches, Abdominal pain, Sweating, Rashes, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Nausea, Headache, Loss of appetite, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Rashes, General discomfort?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Vomiting, Stomach cramps, Headache, Dehydration, Muscle aches, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Loss of appetite, Dehydration, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Loss of appetite, Muscle aches, Body aches, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Fatigue, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes Diarrhea, Headache, Abdominal pain, Dehydration, Sweating, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Low-grade fever, Muscle aches, Nausea, Fatigue, Abdominal pain, Dehydration, Chills, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Muscle aches, Chills, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Irritability, Swollen lymph nodes, Sore throat, Cough, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Fever, Stomach cramps, Dehydration, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Red spots, Blisters, Fatigue, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Loss of appetite, Dehydration, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Muscle aches, Fatigue, Dehydration, Rashes, Fever?",Norovirus Infection
"What disease causes Irritability, Fatigue, Swollen lymph nodes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes?",Roseola
"What disease causes Stomach cramps, Muscle aches, Nausea, Headache, Abdominal pain, Dehydration, Rashes?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Stomach cramps, Dehydration, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Sore throat, Red lines in body folds, Strawberry tongue, Pale skin around lips, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Nausea or vomiting?",Scarlet Fever
"What disease causes High fever, Irritability, Sore throat, Cough, Vomiting, Body aches, Rashes, Feverish?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Rash, Swollen lymph nodes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes?",Roseola
"What disease causes Stomach cramps, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Rashes, Fever?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Nausea, Headache, Fatigue, Loss of appetite, Body aches, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Vomiting, Loss of appetite, Rashes, Chills?",Roseola
"What disease causes Fever, Irritability, Red spots, Blisters, Headache?","Hand, Foot, and Mouth Disease"
